date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:51	68/68	---M--	200	added ('OK')	text/plain	etag:%2244-5b60e85ddf660%22	http://www.snockonews.net/robots.txt		(from )
20:16:52	18175/18175	---M--	200	added ('OK')	text/html	etag:%2246ff-5b60e85cf256c%22	http://www.snockonews.net/	C:/Users/dande/Coding/Outside/MK/www.snockonews.net/index.html	(from )
20:16:52	67895/67895	---M--	200	added ('OK')	image/jpeg	etag:%220a01654b98d92c20a9dadfb9ff21d206%22	https://storage.googleapis.com/wzsitethumbnails/site-49624684/800x500.jpg	C:/Users/dande/Coding/Outside/MK/storage.googleapis.com/wzsitethumbnails/site-49624684/800x500.jpg	(from http://www.snockonews.net/)
20:16:52	16330/16330	---M-Z	200	added ('OK')	application/javascript	etag:1425296833	https://149b4.wpc.azureedge.net/80149B4/insights/t.js?brand=startlogic&v=g-202009151209088770	C:/Users/dande/Coding/Outside/MK/149b4.wpc.azureedge.net/80149B4/insights/tff90.js	(from http://www.snockonews.net/)
20:16:53	147014/147014	---MC-	200	added ('OK')	text/css	etag:W/%22e437221614fa8e252c59405dbd699d6a%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css	(from http://www.snockonews.net/)
20:16:54	2158324/2158324	---MC-	200	added ('OK')	application/javascript	etag:W/%22987ce05d16e610e63976c1f0f1d3084a%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer/viewer.js	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer/viewer.js	(from http://www.snockonews.net/)
20:16:54	24231/24231	---M--	200	added ('OK')	application/json	etag:%22f2edecf99c4439c4739c2f8a4c4d5ade%22	https://storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/0093540bda5d4f2eb4186d5ff681efb2.js?1607548358	C:/Users/dande/Coding/Outside/MK/storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/0093540bda5d4f2eb4186d5ff681efb222db.json	(from http://www.snockonews.net/)
20:16:54	129515/129515	---M--	200	added ('OK')	application/json	etag:%22bc5284ad20274f1df1bff77bfa738b3f%22	https://storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/5a34b3a928d14b8fa413f584616f775e.js?1607548358	C:/Users/dande/Coding/Outside/MK/storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/5a34b3a928d14b8fa413f584616f775e22db.json	(from http://www.snockonews.net/)
20:16:54	115926/115926	---M--	200	added ('OK')	application/json	etag:%220f614453024afa2c38404aa0a803a071%22	https://storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/5a0d364130074bbeb19232cbe4efb037.js?1607548358	C:/Users/dande/Coding/Outside/MK/storage.googleapis.com/wzukusers/user-34884771/sites/49624684/5d407c32a6c9fJ3zrpJg/5a0d364130074bbeb19232cbe4efb03722db.json	(from http://www.snockonews.net/)
20:16:55	201/201	---M--	200	added ('OK')	image/png	etag:%222408f411e3b29319fd68dff9442c5b18%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/events-catcher-background.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/events-catcher-background.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:55	4178/4178	---M--	200	added ('OK')	image/gif	etag:%224fb2be628ab0b12c1b8d50d694d9061a%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/loading-animation-1.gif	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/loading-animation-1.gif	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:55	229/229	---M--	200	added ('OK')	image/png	etag:%22f0e817640f1da4a7a71ec1f13c9816c9%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/transparent-background-small.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/transparent-background-small.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:56	220/220	---M--	200	added ('OK')	image/png	etag:%22a25d844d4b78824b4da0a64d1e1fb002%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/transparent-background-2.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/transparent-background-2.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:56	545/545	---M--	200	added ('OK')	image/png	etag:%229cb5f62c25f101fac6433061d0afea41%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/diagonal-red.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/diagonal-red.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:57	202/202	---M--	200	added ('OK')	image/png	etag:%22818ef5f720652aa78cbc33489d3f9630%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/horizontal-shadow-3-bottom-to-top.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/horizontal-shadow-3-bottom-to-top.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:57	193/193	---M--	200	added ('OK')	image/png	etag:%2248be21392a65eeed3c7994d0eeb29f7d%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/horizontal-shadow-3-top-to-bottom.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/horizontal-shadow-3-top-to-bottom.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:57	254/254	---M--	200	added ('OK')	image/png	etag:%22cb488eec575548c9ee592de6fa425688%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/fully-transparent.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/fully-transparent.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
20:16:58	196/196	---M--	200	added ('OK')	image/png	etag:%22ba3ea96e9b6bb9851653c97e96c54b83%22	https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/gradient-bottom-1.png	C:/Users/dande/Coding/Outside/MK/components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/images/gradient-bottom-1.png	(from https://components.mywebsitebuilder.com/g-202009151209088770/viewer-vdeck/viewer.css)
